정류소노드 아이디,정류소명,경도,위도,지자체코드,지자체명
156000090,성서종합시장건너,128.494391,35.855679,156,달서구
156000091,계명대학교동문앞,128.491772,35.854405,156,달서구
156000092,우방죽전타운앞1,128.5307939,35.851095,156,달서구
157000001,가창중학교건너,128.6458859,35.7751,157,달성군
157000002,담안마을1,128.6518849,35.74737,157,달성군
157000003,송정마을1,128.6531291,35.744662,157,달성군
157000004,옥분리1,128.649911,35.752165,157,달성군
157000005,담안마을2,128.6518741,35.747713,157,달성군
157000006,송정마을2,128.6530492,35.745077,157,달성군
157000007,가창농협건너,128.6231699,35.80458,157,달성군
157000008,가창면사무소건너,128.6221619,35.802818,157,달성군
157000009,가창면사무소앞,128.6223052,35.802804,157,달성군
157000010,스파밸리1,128.639101,35.787102,157,달성군
157000011,에코테마파크대구숲남문앞,128.6293,35.793315,157,달성군
157000012,대림생수,128.6451281,35.77706,157,달성군
157000013,샛터마을입구,128.6509061,35.749731,157,달성군
157000014,가창농협앞,128.623135,35.804363,157,달성군
157000015,삼산리(삼산교회건너),128.6604349,35.736084,157,달성군
157000016,대구텍앞,128.623586,35.799479,157,달성군
157000017,주2리1,128.650086,35.755315,157,달성군
157000018,삼산리입구앞,128.6565131,35.740296,157,달성군
157000019,삼산리(삼산교회앞),128.6600479,35.736294,157,달성군
157000020,팔조령터널,128.6735461,35.725354,157,달성군
157000021,팔조령터널,128.673144,35.725885,157,달성군
157000022,대구텍건너,128.6234932,35.799384,157,달성군
157000023,중석타운건너,128.6258501,35.797186,157,달성군
157000024,중석타운앞,128.6265139,35.796686,157,달성군
157000025,에코테마파크대구숲남문건너,128.629089,35.794068,157,달성군
157000026,스파밸리2,128.6384969,35.787836,157,달성군
157000027,냉천리2,128.6437669,35.782028,157,달성군
157000028,대림생수앞,128.644879,35.777364,157,달성군
157000029,가창중학교앞,128.6461552,35.774102,157,달성군
157000030,가창초등학교건너,128.6477251,35.770527,157,달성군
157000031,대일1리마을회관건너,128.648718,35.768211,157,달성군
157000032,주리(삼진식당),128.651009,35.75828,157,달성군
157000033,옥분리마을회관앞,128.649969,35.752411,157,달성군
157000034,삼산리입구건너,128.656481,35.741133,157,달성군
157000035,냉천리1,128.6437072,35.782708,157,달성군
157000036,에코테마파크대구숲앞,128.6272598,35.795756,157,달성군
157000037,주2리(최정사입구),128.649722,35.754437,157,달성군
157000038,주1리2,128.6513348,35.76203,157,달성군
157000039,옥산정미소,128.650712,35.750537,157,달성군
157000040,가창초등학교앞,128.648291,35.769571,157,달성군
157000090,묘1리파회,128.4132179,35.905257,157,달성군
157000091,묘1리 파회,128.4130231,35.905194,157,달성군
157000092,묘1리,128.4199841,35.903438,157,달성군
157000093,육신사입구,128.419893,35.903326,157,달성군
157000094,묘2리,128.422048,35.89864,157,달성군
157000095,묘2리(대륜정공),128.4219472,35.898659,157,달성군
157000096,묘2리점마,128.421616,35.895322,157,달성군
157000097,묘2리(전마),128.4215591,35.895082,157,달성군
157000098,감문리,128.424105,35.890641,157,달성군
157000099,감문리,128.4239491,35.890732,157,달성군
157000100,감문리(삼실)앞,128.4212639,35.886197,157,달성군
157000101,감문리(삼실)건너,128.4211148,35.886312,157,달성군
